slide,jp_text,candidate_en
ppt/slides/slide19.xml,"　・Primarily sold by SIers, focusing on server/infrastructure services",
ppt/slides/slide19.xml,・We are hosting webinars in-house but cannot attract attendees,
ppt/slides/slide19.xml,"・Even when we request media to attract attendees, we fail to do so",
ppt/slides/slide19.xml,・Visitor (later transitioned to Majisemi Club),
ppt/slides/slide19.xml,"・Using know-how from hosting 1,000 webinars ann
ually and tools like 'trend analysis tool', Maj
isemi plans and proposes 'attractive projects'",
ppt/slides/slide19.xml,・Achieved attendance of over 120 people,
ppt/slides/slide20.xml,・Tool vendors,
ppt/slides/slide20.xml,"・Focused on marketing through exhibitions, but struggled to convert to business discussions",
ppt/slides/slide20.xml,・Visitor (later transitioned to Majisemi Club),
ppt/slides/slide20.xml,"・Repeatedly hosted webinars while exploring themes that 'attract
 a certain number of attendees and lead to business discussions'",
ppt/slides/slide20.xml,・Improved conversion rate from 10%→20%→50% while attracting about 30 attendees each time,
ppt/slides/slide20.xml,・Presenters themselves conduct follow-up after webinars,
ppt/slides/slide21.xml,・Global IT company developing and selling packaged products and SaaS,
ppt/slides/slide21.xml,・Hosting offline seminars but struggling with attendance and participation rates,
ppt/slides/slide21.xml,・Not leading to business discussions,
ppt/slides/slide21.xml,・Visitor,
ppt/slides/slide21.xml,・Proposal for online (webinar),
ppt/slides/slide21.xml,・Implemented 'seminar planning that leads to business discussions',
ppt/slides/slide21.xml,・30 registrations→achieved 6 appointments,
ppt/slides/slide22.xml,・Infrastructure IT venture company also developing its own products,
ppt/slides/slide22.xml,・Hosted several webinars with good attendance but not leading to business discussions,
ppt/slides/slide22.xml,・Busy staff unable to provide sufficient sales follow-up after webinars,
ppt/slides/slide22.xml,・Visitor,
ppt/slides/slide22.xml,・Implemented 'seminar planning that leads to business discussions',
ppt/slides/slide22.xml,"・Implemented 'Majifolo', a follow-up service that makes calls immediately after webinars",
ppt/slides/slide22.xml,・50 registrations→achieved 8 appointments,
ppt/slides/slide23.xml,・Foreign SaaS vendor,
ppt/slides/slide23.xml,・Achieving attendance targets every time but not leading to business discussions,
ppt/slides/slide23.xml,・Issues with presentation materials and content,
ppt/slides/slide23.xml,・Majisemi Club,
ppt/slides/slide23.xml,・Implemented AI-generated speech scripts and AI digital human presentation services,
ppt/slides/slide23.xml,"・Implemented 'Majifolo', a follow-up service that makes calls immediately after webinars",
ppt/slides/slide23.xml,・20 registrations→achieved 4 appointments,
ppt/slides/slide33.xml,　　　　　　　,
ppt/slides/slide33.xml,　　　　　　　,
ppt/slides/slide33.xml,"・Responding to inq
uiries
・Reminders",
