Japanese,English
集客に強いセミナー,集客に強いセミナー
新規の商談獲得に強いセミナー,Seminars strong in acquiring new business negotiations
IT責任者が選ぶセミナー,Seminars chosen by IT managers
日本マーケティングリサーチ機構調べ 調査概要:2021年サービスの比較印象調査,Survey by Japan Marketing Research Organization Overview: 2021 Service Comparison Impression Survey
"ウェビナーを起点とした
“本気”のBtoBマーケティング支援
「マジセミ」のご紹介","ウェビナーを起点とした
“本気”のBtoBマーケティング支援
「マジセミ」のご紹介"
はじめて「マジセミ」をご検討される方へ,For those considering Majisemi for the first time
ウェビナーを活用した東南アジア進出支援,ウェビナーを活用した東南アジア進出支援
日本国内向けとほぼ同じ価格で、東南アジア向けにウェビナー配信が可能。,日本国内向けとほぼ同じ価格で、東南アジア向けにウェビナー配信が可能。
貴社は日本語（又は英語）でのプレゼン動画（＋スライド）を用意するだけ。,貴社は日本語（又は英語）でのプレゼン動画（＋スライド）を用意するだけ。
現地語での字幕の追加、スライドの翻訳、当日の配信まで、全てマジセミ側で対応。,現地語での字幕の追加、スライドの翻訳、当日の配信まで、全てマジセミ側で対応。
オプションで、ウェビナー後のリードフォローや、現地語対応済みのウェビナー動画の２次利用なども可能。,オプションで、ウェビナー後のリードフォローや、現地語対応済みのウェビナー動画の２次利用なども可能。
東南アジアで開催される展示会への共同出展も推進中。,東南アジアで開催される展示会への共同出展も推進中。
その後のフォローに対する,その後のフォローに対する
反応が、約100倍違う,反応が、約100倍違う
  　　　　　　　　　　   ※弊社調べ,※ According to our research
お客様とFace to Faceの,お客様とFace to Faceの
"コミュニケーションができ、
信用・信頼がアップ","コミュニケーションができ、
信用・信頼がアップ"
メールで資料案内した場合の,メールで資料案内した場合の
反応率が約100倍！,is about 100 times!
なぜ“ウェビナー起点”なのか？,なぜ“ウェビナー起点”なのか？
リスト全体にメールした場合,When emailing the entire list
セミナー参加者にメールした場合,When emailing seminar participants
ウェビナーの特徴,ウェビナーの特徴
「インタラクティブな体験」を提供できる,「インタラクティブな体験」を提供できる
ライブでの質疑応答,ライブでの質疑応答
質問や要望を受けながらのデモ、工場視察,質問や要望を受けながらのデモ、工場視察
「生のフィードバック」を得られる,「生のフィードバック」を得られる
事前/事後アンケートはもちろん、講演中の投票や質問など,事前/事後アンケートはもちろん、講演中の投票や質問など
「興味関心が高い」視聴者を得られる,「興味関心が高い」視聴者を得られる
少人数ウェビナーの場合、貴社の商品・サービスが解決できる課題について、困っている人が参加する,少人数ウェビナーの場合、貴社の商品・サービスが解決できる課題について、困っている人が参加する
「場を共有する」ことで信頼関係を構築する,「場を共有する」ことで信頼関係を構築する
“先生”として認知,“先生”として認知
質疑応答などのコミュニケーションを通じた信頼関係の構築,質疑応答などのコミュニケーションを通じた信頼関係の構築
何も接点がないところから、いきなりのテレアポやDMは不信感につながります。,何も接点がないところから、いきなりのテレアポやDMは不信感につながります。
まずは「価値がある情報を提供」するウェビナーを開催することで、最初の接点を構築すると共に、,まずは「価値がある情報を提供」するウェビナーを開催することで、最初の接点を構築すると共に、
「信用・信頼」を獲得することができます。,「信用・信頼」を獲得することができます。
マジセミのサービス概要,マジセミのサービス概要
マジセミのハウスリスト,マジセミのハウスリスト
集客力,集客力
ユーザー企業内訳,ユーザー企業内訳
ハウス,House
リスト,List
全体,Overall
※2020～202４年開催のセミナー申込者から推測,※2020～202４年開催のセミナー申込者から推測
約25万件の,約25万件の
ハウスリストを所有！,ハウスリストを所有！
マネージャー層が中心,Primarily managers
半数近くが,Nearly half work at
大企業にお勤め,大企業にお勤め
ハウスリスト内訳,ハウスリスト内訳
役 職,Position
企業,Company
規模,Size
マジセミでは、より貴社の商品・サービスにマッチした方にウェビナーにご参加いただくために、メール等で集客をする際に、属性指定（セグメント）をする方式ではなく、,マジセミでは、より貴社の商品・サービスにマッチした方にウェビナーにご参加いただくために、メール等で集客をする際に、属性指定（セグメント）をする方式ではなく、
ウェビナーのテーマ設定（タイトル、告知文）を、,ウェビナーのテーマ設定（タイトル、告知文）を、
マジセミ側で設計させていただくことで、,"on behalf of Majisemi,"
貴社のターゲットの割合を増やす方式を採用しております。,adopting a method that increases the proportion of your target audience.
メール配信も全件に送付するのではなく、設定したテーマに関心が高い方を優先して配信しております。,"Emails are not sent to all contacts, but prioritized for those highly interested in the set theme."
マジセミのリストは、,The Majisemi list is
以下の属性にほぼ特化しています。,is almost exclusively focused on the following attributes.
職種,Job function
全業種 × 情報システム部門、DX関連部門,"All industries × Information systems departments, DX-related departments"
全業種 × セキュリティ部門,All industries × Security departments
製造業 × 生産・製造部門,Manufacturing × Production and manufacturing departments
全業種 × バックオフィス部門,All industries × Back office departments
IT企業 × 全職種,IT Companies × All Job Functions
リード獲得,Lead acquisition
ナーチャリング・商談,Nurturing and business negotiations
契 約,Contract
（SiriusDecision社調査）,(SiriusDecisions survey)
コールドリード,Cold lead
27名,27 individuals
8割が2年以内に,80% sign contracts with
競合他社と契約,competitors within 2 years
21名,21 individuals
1名,1 individual
２１名,21 individuals
過去参加者も含め繰り返しウェビナーを開催,"By repeatedly holding webinars, including past participants,"
することで新規リード獲得とナーチャリングを効率化します。,to efficiently acquire new leads and nurture them.
セミナー開催,Seminar hosting
30名,30 participants
繰り返し開催,Repeatedly held
することが重要！,It's important to do so!
ホットリード,Hot leads
3名,3 participants
放置すると,If left unattended
コールドリードの価値とウェビナーを繰り返す事の重要性,The value of cold leads and the importance of repeating webinars
なぜ、ウェビナーを開催する必要があるのか？,Why is it necessary to hold webinars?
マジセミが過去参加者に対して長期フォローを実施し、,"Majisemi conducts long-term follow-ups with past participants,"
アポ獲得を代行する「マジフォロプラス」も提供しています。,and also offers 'Maji Follow Plus' to assist in appointment acquisition.
当日の講演に,Focus on the presentation
集中できる！,on the day!
ワンストップサービスで,"With a one-stop service,"
最初から最後まで,from start to finish
マジセミが代行、だから,"Majisemi handles it all, so"
マジセミをご利用いただくべき理由,Reasons to use Majisemi
貴社のウェビナー運営を代行,Delegate your webinar operations to us
SEO記事作成,SEO article creation
動画作成,Video production
（オプション）,(Optional)
司会進行,Moderation
アンケート集計,Survey aggregation
レポート作成,Report creation
アポ獲得,Appointment acquisition
(オプション）,(Optional)
集客,Attracting attendees
セミナー,Seminar
事務局,Secretariat
企画,Planning
集客費用のみで,All support included
全ての支援がついてきます！,with only the cost of attracting attendees!
振り返り＆,Review &
改善,Improvement
PDCAを繰り返し、勝ちパターンを探索,Repeat PDCA to explore winning patterns
マジセミ集客枠,Majisemi audience acquisition slot
集客ページ作成・公開,Audience acquisition page creation & publication
貴社集客枠,Your audience acquisition slot
公開後,After publication
URLを,We will provide
お渡し,will be provided
マジセミで集客,Attracting customers with Majisemi
貴社ハウスリスト・HP等でご集客,"Attract customers through your company's house list and website, etc."
マジセミ枠,Majisemi slot
申込者データ,Applicant data
マジセミ管理画面,Majisemi management screen
※お断り対象者・キャンセル待ち申込者は除く,*Excludes disqualified applicants and those on the waiting list
貴社集客枠への,Applications to your customer acquisition slot
お申し込みは,Applications are
何名でも課金対象外！,"not subject to charges, regardless of the number!"
貴社がすでにお持ちの,For nurturing your existing
ハウスリストのナーチャリング、,"house list nurturing,"
休眠顧客の掘り起こし、,"reviving dormant customers,"
HP等での新規リード獲得に,"and acquiring new leads through your website, etc.,"
ぜひご活用ください！,please make full use of this!
企画FIX,Plan finalized
参加用URL配信,Distribution of participation URL
1週間前＆前日リマインド配信,Reminder distribution 1 week before & the day before
貴社へ全リード納品,Delivery of all leads to your company
マジセミ集客枠のミラーサイトで、,We will create a dedicated customer acquisition site URL for you
貴社専用の集客サイトURLを作成致します。,we will create a dedicated customer acquisition site URL for your company.
１回のウェビナーで  新規リード獲得  と、  既存リードのナーチャリング  を同時に行うことが可能,"In a single webinar, it is possible to acquire new leads and nurture existing leads simultaneously"
ウェビナー成功事例,Successful webinar case studies
（事例１）「テーマを変更し、120名以上の集客を実現」＜C社＞,"(Case 1) ""Changed the theme and achieved over 120 attendees"" <Company C>"
■お客様の課題,■ Customer's challenges
　・サーバ／インフラ系サービスを中心に販売されている、SIer様,　・サーバ／インフラ系サービスを中心に販売されている、SIer様
　・自社でウェビナーを開催しているが集客できない,・We are hosting webinars in-house but are unable to attract an audience
　・メディアに集客を依頼しても、集客できなかった,"・Even when outsourcing to media, we couldn't attract an audience"
■ご利用いただいたプラン,■ Plan utilized
　・ビジター（その後、マジセミ倶楽部へ移行）,・Visitor (later transitioned to Majisemi Club)
■マジセミでの対応,■ Response by Majisemi
"　・年間1000回のウェビナー開催の中での集客傾向ノウハウや、
　「トレンド分析ツール」な　を活用し、
　「集客できる企画」をマジセミ側で立案、ご提案","・Using the know-how from hosting 1,000 webinars annually and tools like 'Trend Analysis Tool',
  Majisemi plans and proposes 'attractive event concepts'."
■結果,■ Results
　・120名以上の集客実現,・Achieved an audience of over 120 participants
本日の打ち合わせの目的,Purpose of today's meeting
はじめて「マジセミ」をご検討される企業のために、以下のような内容についてお話させていただきます。,"For companies considering ""Majisemi"" for the first time, we will discuss the following topics."
マーケティングにおける課題のヒアリング,Hearing about challenges in marketing
どのようにマジセミをご活用いただくのか？,How will you utilize Majisemi?
（事例2）「テーマを模索しながら50%以上のアポを獲得」＜T社＞,"(Case 2) ""While exploring themes, achieved over 50% appointment acquisition"" <Company T>"
　・ツールベンダー様,・Tool vendors
　・展示会等中心のマーケティングを実施していたが、商談化に苦戦,"・Focused on marketing through exhibitions, but struggled to turn them into business opportunities"
"　・繰り返しウェビナーを開催しながら、「ある程度集客もでき、かつ、商談につながる
　　テーマ」を模索。",・Repeatedly held webinars while searching for 'themes that attract audiences and lead to business'.
　・毎回30名程度の集客をしつつ、商談化率を10%→20%→50%と改善,・Improved conversion rates from 10% to 20% to 50% while attracting about 30 participants each time
　・登壇者が自ら、ウェビナー後のフォローを実施,・Presenters themselves conduct follow-ups after the webinar
（事例3）「オンラインに変更し、20%のアポを獲得」＜Z社＞,"(Case Study 3) ""Switched to online and acquired 20% appointments"" <Company Z>"
　・パッケージ製品・SaaSを開発・販売されているグローバルIT企業,・Global IT company developing and selling packaged products and SaaS
　・オフラインセミナーを開催しているが、集客、出席率で苦戦,・Holding offline seminars but struggling with attendance and participation rates
　・商談にもつながらない,・Not leading to business discussions
　・ビジター,・Visitor
　・オンライン（ウェビナー）のご提案,・Proposal for online (webinars)
　・「商談につながるセミナー企画」を実施,・Conducted 'seminar concepts that lead to business discussions'
　・30人申込み→6件アポを実現,・Achieved 6 appointments from 30 sign-ups
（事例4）「フォロー代行で１５％以上のアポを獲得」＜I社＞,(Case Study 4) 'Acquired over 15% appointments with follow-up outsourcing' <Company I>
　・自社製品も開発しているインフラ系ITベンチャー企業,・Infrastructure IT venture company also developing in-house products
　・何回かウェビナーを開催し、集客は好調だったが、商談につながらない,・Held multiple webinars with good attendance but not leading to business discussions
　・担当者が多忙で、ウェビナー後に十分な営業フォローができていない,・Person in charge is too busy to sufficiently follow up on sales after webinars
　・ウェビナー終了直後から架電するフォロー代行サービス「マジフォロ」を実施,"・Implemented 'Majifollow', a follow-up service that makes calls right after webinars"
　・50人申込み→8件アポを実現,・Achieved 8 appointments from 50 sign-ups
（事例5）「AIがプレゼンし、20%のアポを獲得」＜A社＞,"(Case Study 5) ""AI presented and acquired 20% appointments"" <Company A>"
　・外資系SaaSベンダー,・Foreign-owned SaaS vendor
　・毎回集客は目標達成しているが、商談につながらない,"・Achieving audience targets every time, but not leading to business discussions"
　・講演資料やプレゼン内容にも課題がある,・Challenges with presentation materials and content
　・マジセミ倶楽部,・Majisemi Club
　・生成AIによる講演原稿作成と、AIデジタルヒューマンによるプレゼン代行を実施,・Implemented AI-generated speech scripts and AI digital human presentation delegation
　・20人申込み→4件アポを実現,・Achieved 4 appointments from 20 sign-ups
プランと料金について,About plans and pricing
プランの比較,Plan Comparison
おすすめ,Recommended
ビジター,Visitor
マジセミ倶楽部 ライト,Majisemi Club Light
マジセミ倶楽部 商談保証,Majisemi Club Business Negotiation Guarantee
こんな方におすすめ！,Recommended for these individuals!
ウェビナー開催予定が,Planning to hold webinars
1年で1～2回程度,1 to 2 times a year
年間4回以上ウェビナー開催予定,Planning to hold webinars 4 times or more annually
リード単価を抑えたい,Want to reduce cost per lead
集客ではなく商談（アポ）を,Want business negotiations (appointments) rather than just attracting attendees
保証してほしい,Want a guarantee
リード単価比較,Cost per lead comparison
"14,500円","14,500 yen"
"12,000円（毎月10名）","12,000 yen (10 people monthly)"
"10,000円（追加集客時）","10,000 yen (for additional audience)"
"20,000円（3ヶ月30名）","20,000 yen (30 people in 3 months)"
"13,500円（追加集客時）","13,500 yen (for additional audience)"
過去申込者重複課金対象外,Not subject to duplicate charges for past applicants
※詳細は各プランの説明を参照,※Refer to the description for details on each plan
なし,None
あり,Available
商談（アポ）保証,Business discussion (appointment) guarantee
契約期間,Contract period
1回ごと,Per session
1ヶ月ごと,Monthly
（自動更新）,(Auto-renewal)
3ヶ月ごと,Every 3 months
